Tags; Authors; Title; Publisher; Date; DOI; Other
2016; Vohl D, Barnes DG, Fluke CJ, Poudel G, Georgiou-Karistianis N, Hassan AH, Benovitski Y, Wong TH, Kaluza OL, Nguyen TD, Bonnington CP; Large-scale comparative visualisation of sets of multidimensional data; PeerJ Computer Science 2:e88; 2006; https://doi.org/10.7717/peerj-cs.88
2016; Anh TN Nguyen, Jo-Anne Baltos, Trayder Thomas, Toan D Nguyen, Laura Lopez Munoz, Karen J Gregory, Paul J White, Patrick M Sexton, Arthur Christopoulos and Lauren T May; Extracellular loop 2 of the adenosine A1 receptor has a key role in orthosteric ligand affinity and agonist efficacy; Molecular Pharmacology; September 2016; DOI: http://dx.doi.org/10.1124/mol.116.105007
2016; Anh TN Nguyen, Elizabeth A Vecchio, Trayder Thomas, Toan D Nguyen, Luigi Aurelio, Peter J Scammells, Paul J White, Patrick M Sexton, Karen J Gregory, Lauren T May and Arthur Christopoulos; The role of the second extracellular loop of the adenosine A1 receptor on allosteric modulator binding, signaling and cooperativity; Molecular Pharmacology; September 2016; DOI: http://dx.doi.org/10.1124/mol.116.105015
2015; Toan D Nguyen, Parnesh Raniga, David G Barnes, Gary F Egan; Design, implementation and operation of a multimodality research imaging informatics repository; Health Information Science and Systems 3(Suppl 1):S6; February 2015
2014; W. J. Goscinski, P. McIntosh, U. Felzmann, A. Maksimenko, C. Hall, T. Nguyen, D. Thompson, A. Janke, G. Galloway, N. Killeen, P. Raniga, O. Kaluza, A. Ng, G. Poudel, D. Barnes, P. Bonnington, G.F Egan; The Multi-modal Australian ScienceS Imaging and Visualisation Environment (MASSIVE) high performance computing infrastructure: applications in neuroscience and neuroinformatics research; Frontiers in Neuroinformatics; March 2014
2013; Toan Dinh Nguyen, Gueesang Lee; Tensor Voting Based Outlier Removal for Global Motion Estimation; International Journal of Innovative Computing, Information and Control (IJICIC), vol. 9, no. 1; 2013
2012; Toan Dinh Nguyen, JeongHwan Kim, SooHyung Kim, HyungJeong Yang, GueeSang Lee, JuneYoung Chang, and NakWoong Eum; A Novel Interaction Method for Mobile Devices Using Low Complexity Global Motion Estimation; ETRI Journal, vol.34, no.5, pp.734-742; Oct. 2012; http://dx.doi.org/10.4218/etrij.12.0112.0070
2012; Toan Dinh Nguyen, Gueesang Lee; Color image segmentation using tensor voting based color clustering; Pattern Recognition Lett., vol. 33, no. 5, pp. 605-614; 2012;  doi:10.1016/j.patrec.2011.11.015
2011; Toan Dinh Nguyen, Gueesang Lee; Text Line Segmentation in Handwritten Document Images Using Tensor Voting; IEICE Trans. Fundamentals, vol. E94-A, no. 11, pp.2434-2441; 2011
2010; Toan Dinh Nguyen, Jonghyun Park, Soohyung Kim, Hyukro Park, Gueesang Lee; Automatically Improving Image Quality Using Tensor Voting; Neural Computing and Applications, vol. 20, no. 7, pp. 1017-1026; 2010
2010; Toan Dinh Nguyen, Jonghyun Park, and Gueesang Lee; Tensor Voting Based Text Localization in Natural Scene Images; IEEE Signal Processing Letters, vol. 17, no. 7, pp. 639-642; July 2010
2007; Toan Dinh Nguyen, Gueesang Lee, June-Young Chang, and Han-Jin Cho; Efficient MPEG-4 to H.264/AVC Transcoding with Spatial Downscaling; ETRI Journal, vol.29, no.6, pp.826-828; Dec. 2007
2010; Huy Phat Le, Toan Dinh Nguyen, Gueesang Lee; Label Restoration Using Biquadratic Transformation; International Journal of Contents, vol. 6, no. 1; March 2010
2009; Gueesang Lee, Toan Dinh Nguyen, Jonghyun Park; Extraction of Text Alignment by Tensor Voting and its Application to Text Detection; Journal of KIISE: Software and Applications, vol. 36, no. 11; November 2009
2010; Jonghyun Park, Gueesang Lee, Toan Dinh Nguyen, Wanhyun Cho, and Sooyoung Park; Moving Object Detection Using Clausius Entropy and Adaptive Gaussian Mixture Model; Journal of The Institute of Electronics Engineers of Korea, v. 47-CI, n. 1; Jan. 2010
2009; Gueesang Lee, Toan Dinh Nguyen, JongHyun Park; Extraction of Text Alignment by Tensor Voting and its Application to Text Detection; Journal of KIISE (ISSN: 1229-6848), v. 36, number 11; Nov 2009
2008; Park Jonghyun, Toan Dinh Nguyen, Lee Gueesang; Corrupted Region Restoration based on 2D Tensor Voting and Segmentation; KIPSTB (Korean Information Processing Society Journal); 2008
